['Stukely', -72.23476765833334, 45.36380132833333, '2022-09-03', '02-04-33', '06_05_05', 'Stukely_Day14_2022-09-03_02-04-33_picNo_94_M45.36380132833333_N-72.23476765833334_T06_05_05.200000.png', []],
['Stukely', -72.234767935, 45.363801796666664, '2022-09-03', '02-04-33', '06_05_06', 'Stukely_Day14_2022-09-03_02-04-33_picNo_96_M45.363801796666664_N-72.234767935_T06_05_06.200000.png', []],
['Stukely', -72.234767935, 45.363801796666664, '2022-09-03', '02-04-33', '06_05_06', 'Stukely_Day14_2022-09-03_02-04-33_picNo_97_M45.363801796666664_N-72.234767935_T06_05_06.200000.png', []],
['Stukely', -72.23476824666666, 45.363802275, '2022-09-03', '02-04-33', '06_05_07', 'Stukely_Day14_2022-09-03_02-04-33_picNo_99_M45.363802275_N-72.23476824666666_T06_05_07.200000.png', []],
['Stukely', -72.23476824666666, 45.363802275, '2022-09-03', '02-04-33', '06_05_07', 'Stukely_Day14_2022-09-03_02-04-33_picNo_100_M45.363802275_N-72.23476824666666_T06_05_07.200000.png', []],
['Stukely', -72.23476857, 45.36380274166667, '2022-09-03', '02-04-33', '06_05_08', 'Stukely_Day14_2022-09-03_02-04-33_picNo_102_M45.36380274166667_N-72.23476857_T06_05_08.200000.png', []],
['Stukely', -72.23476857, 45.36380274166667, '2022-09-03', '02-04-33', '06_05_08', 'Stukely_Day14_2022-09-03_02-04-33_picNo_103_M45.36380274166667_N-72.23476857_T06_05_08.200000.png', []],
['Stukely', -72.23476874333333, 45.363803258333334, '2022-09-03', '02-04-33', '06_05_09', 'Stukely_Day14_2022-09-03_02-04-33_picNo_105_M45.363803258333334_N-72.23476874333333_T06_05_09.200000.png', []],
['Stukely', -72.23476874333333, 45.363803258333334, '2022-09-03', '02-04-33', '06_05_09', 'Stukely_Day14_2022-09-03_02-04-33_picNo_106_M45.363803258333334_N-72.23476874333333_T06_05_09.200000.png', []],
['Stukely', -72.23476899833334, 45.363803706666666, '2022-09-03', '02-04-33', '06_05_10', 'Stukely_Day14_2022-09-03_02-04-33_picNo_108_M45.363803706666666_N-72.23476899833334_T06_05_10.200000.png', []],
['Stukely', -72.23476899833334, 45.363803706666666, '2022-09-03', '02-04-33', '06_05_10', 'Stukely_Day14_2022-09-03_02-04-33_picNo_109_M45.363803706666666_N-72.23476899833334_T06_05_10.200000.png', []],
['Stukely', -72.23476932666667, 45.36380416666667, '2022-09-03', '02-04-33', '06_05_11', 'Stukely_Day14_2022-09-03_02-04-33_picNo_111_M45.36380416666667_N-72.23476932666667_T06_05_11.200000.png', []],
['Stukely', -72.23476932666667, 45.36380416666667, '2022-09-03', '02-04-33', '06_05_11', 'Stukely_Day14_2022-09-03_02-04-33_picNo_112_M45.36380416666667_N-72.23476932666667_T06_05_11.200000.png', []],
['Stukely', -72.23476960333333, 45.363804593333334, '2022-09-03', '02-04-33', '06_05_12', 'Stukely_Day14_2022-09-03_02-04-33_picNo_114_M45.363804593333334_N-72.23476960333333_T06_05_12.200000.png', []],
['Stukely', -72.23476960333333, 45.363804593333334, '2022-09-03', '02-04-33', '06_05_12', 'Stukely_Day14_2022-09-03_02-04-33_picNo_115_M45.363804593333334_N-72.23476960333333_T06_05_12.200000.png', []],
['Stukely', -72.23476984333334, 45.363805041666666, '2022-09-03', '02-04-33', '06_05_13', 'Stukely_Day14_2022-09-03_02-04-33_picNo_117_M45.363805041666666_N-72.23476984333334_T06_05_13.200000.png', []],
['Stukely', -72.23476984333334, 45.363805041666666, '2022-09-03', '02-04-33', '06_05_13', 'Stukely_Day14_2022-09-03_02-04-33_picNo_118_M45.363805041666666_N-72.23476984333334_T06_05_13.200000.png', []],
['Stukely', -72.234770235, 45.36380552, '2022-09-03', '02-04-33', '06_05_14', 'Stukely_Day14_2022-09-03_02-04-33_picNo_120_M45.36380552_N-72.234770235_T06_05_14.200000.png', []],
['Stukely', -72.234770235, 45.36380552, '2022-09-03', '02-04-33', '06_05_14', 'Stukely_Day14_2022-09-03_02-04-33_picNo_121_M45.36380552_N-72.234770235_T06_05_14.200000.png', []],
['Stukely', -72.23477049666667, 45.36380601, '2022-09-03', '02-04-33', '06_05_15', 'Stukely_Day14_2022-09-03_02-04-33_picNo_123_M45.36380601_N-72.23477049666667_T06_05_15.200000.png', []],
['Stukely', -72.23477049666667, 45.36380601, '2022-09-03', '02-04-33', '06_05_15', 'Stukely_Day14_2022-09-03_02-04-33_picNo_124_M45.36380601_N-72.23477049666667_T06_05_15.200000.png', []],
['Stukely', -72.23477081666667, 45.36380651166667, '2022-09-03', '02-04-33', '06_05_16', 'Stukely_Day14_2022-09-03_02-04-33_picNo_126_M45.36380651166667_N-72.23477081666667_T06_05_16.200000.png', []],
['Stukely', -72.23477081666667, 45.36380651166667, '2022-09-03', '02-04-33', '06_05_16', 'Stukely_Day14_2022-09-03_02-04-33_picNo_127_M45.36380651166667_N-72.23477081666667_T06_05_16.200000.png', []],
['Stukely', -72.234771145, 45.363807013333336, '2022-09-03', '02-04-33', '06_05_17', 'Stukely_Day14_2022-09-03_02-04-33_picNo_129_M45.363807013333336_N-72.234771145_T06_05_17.200000.png', []],
['Stukely', -72.234771145, 45.363807013333336, '2022-09-03', '02-04-33', '06_05_17', 'Stukely_Day14_2022-09-03_02-04-33_picNo_130_M45.363807013333336_N-72.234771145_T06_05_17.200000.png', []],
['Stukely', -72.23477147666667, 45.36380748166667, '2022-09-03', '02-04-33', '06_05_18', 'Stukely_Day14_2022-09-03_02-04-33_picNo_132_M45.36380748166667_N-72.23477147666667_T06_05_18.200000.png', []],
['Stukely', -72.23477147666667, 45.36380748166667, '2022-09-03', '02-04-33', '06_05_18', 'Stukely_Day14_2022-09-03_02-04-33_picNo_133_M45.36380748166667_N-72.23477147666667_T06_05_18.200000.png', []],
['Stukely', -72.234771785, 45.363807935, '2022-09-03', '02-04-33', '06_05_19', 'Stukely_Day14_2022-09-03_02-04-33_picNo_135_M45.363807935_N-72.234771785_T06_05_19.200000.png', []],
['Stukely', -72.234771785, 45.363807935, '2022-09-03', '02-04-33', '06_05_19', 'Stukely_Day14_2022-09-03_02-04-33_picNo_136_M45.363807935_N-72.234771785_T06_05_19.200000.png', []],
['Stukely', -72.23477214333333, 45.36380838833333, '2022-09-03', '02-04-33', '06_05_20', 'Stukely_Day14_2022-09-03_02-04-33_picNo_138_M45.36380838833333_N-72.23477214333333_T06_05_20.200000.png', []],
['Stukely', -72.23477214333333, 45.36380838833333, '2022-09-03', '02-04-33', '06_05_20', 'Stukely_Day14_2022-09-03_02-04-33_picNo_139_M45.36380838833333_N-72.23477214333333_T06_05_20.200000.png', []],
['Stukely', -72.23477239833333, 45.363808836666664, '2022-09-03', '02-04-33', '06_05_21', 'Stukely_Day14_2022-09-03_02-04-33_picNo_141_M45.363808836666664_N-72.23477239833333_T06_05_21.200000.png', []],
['Stukely', -72.23477239833333, 45.363808836666664, '2022-09-03', '02-04-33', '06_05_21', 'Stukely_Day14_2022-09-03_02-04-33_picNo_142_M45.363808836666664_N-72.23477239833333_T06_05_21.200000.png', []],
['Stukely', -72.234772735, 45.36380931833333, '2022-09-03', '02-04-33', '06_05_22', 'Stukely_Day14_2022-09-03_02-04-33_picNo_144_M45.36380931833333_N-72.234772735_T06_05_22.200000.png', []],
['Stukely', -72.234772735, 45.36380931833333, '2022-09-03', '02-04-33', '06_05_22', 'Stukely_Day14_2022-09-03_02-04-33_picNo_145_M45.36380931833333_N-72.234772735_T06_05_22.200000.png', []],
['Stukely', -72.234773065, 45.36380978, '2022-09-03', '02-04-33', '06_05_23', 'Stukely_Day14_2022-09-03_02-04-33_picNo_147_M45.36380978_N-72.234773065_T06_05_23.200000.png', []],
['Stukely', -72.234773065, 45.36380978, '2022-09-03', '02-04-33', '06_05_23', 'Stukely_Day14_2022-09-03_02-04-33_picNo_148_M45.36380978_N-72.234773065_T06_05_23.200000.png', []],
['Stukely', -72.23477338333333, 45.36381023333333, '2022-09-03', '02-04-33', '06_05_24', 'Stukely_Day14_2022-09-03_02-04-33_picNo_150_M45.36381023333333_N-72.23477338333333_T06_05_24.200000.png', []],
['Stukely', -72.23477338333333, 45.36381023333333, '2022-09-03', '02-04-33', '06_05_24', 'Stukely_Day14_2022-09-03_02-04-33_picNo_151_M45.36381023333333_N-72.23477338333333_T06_05_24.200000.png', []],
['Stukely', -72.23477369166666, 45.36381076666667, '2022-09-03', '02-04-33', '06_05_25', 'Stukely_Day14_2022-09-03_02-04-33_picNo_153_M45.36381076666667_N-72.23477369166666_T06_05_25.200000.png', []],
['Stukely', -72.23477369166666, 45.36381076666667, '2022-09-03', '02-04-33', '06_05_25', 'Stukely_Day14_2022-09-03_02-04-33_picNo_154_M45.36381076666667_N-72.23477369166666_T06_05_25.200000.png', []],
['Stukely', -72.234774015, 45.36381127833333, '2022-09-03', '02-04-33', '06_05_26', 'Stukely_Day14_2022-09-03_02-04-33_picNo_156_M45.36381127833333_N-72.234774015_T06_05_26.200000.png', []],
['Stukely', -72.234774015, 45.36381127833333, '2022-09-03', '02-04-33', '06_05_26', 'Stukely_Day14_2022-09-03_02-04-33_picNo_157_M45.36381127833333_N-72.234774015_T06_05_26.200000.png', []],
['Stukely', -72.23477434333333, 45.36381181833333, '2022-09-03', '02-04-33', '06_05_27', 'Stukely_Day14_2022-09-03_02-04-33_picNo_159_M45.36381181833333_N-72.23477434333333_T06_05_27.200000.png', []],
